technology,year,parameter,value,unit,source,further description,currency_year
retrofitting II,2030,FOM,1,%/year,Palzer thesis,,2013
retrofitting II,2030,investment,271.0,EUR/m2/fraction reduction,Palzer thesis [HICP 2013→2020],,2020
water tank charger,2030,efficiency,0.9,per unit,HP,,
water tank discharger,2030,efficiency,0.9,per unit,HP,,
decentral water tank storage,2030,investment,932.24,EUR/m3,IWES Interaktion [HICP 2013→2020],,2020
decentral water tank storage,2030,FOM,1,%/year,HP,,2013
decentral water tank storage,2030,lifetime,20,years,HP,,
decentral water tank storage,2030,discount rate,0.04,per unit,Palzer thesis,,
central water tank storage,2030,investment,32.52,EUR/m3,IWES Interaktion [HICP 2013→2020],,2020
central water tank storage,2030,FOM,1,%/year,HP,,2013
central water tank storage,2030,lifetime,40,years,HP,,
decentral resistive heater,2030,investment,108.4,EUR/kWhth,Schaber thesis [HICP 2013→2020],,2020
decentral resistive heater,2030,lifetime,20,years,Schaber thesis,,
decentral resistive heater,2030,FOM,2,%/year,Schaber thesis,,2013
decentral resistive heater,2030,efficiency,0.9,per unit,Schaber thesis,,
decentral resistive heater,2030,discount rate,0.04,per unit,Palzer thesis,,
central resistive heater,2030,investment,108.4,EUR/kWhth,Schaber thesis [HICP 2013→2020],,2020
central resistive heater,2030,lifetime,20,years,Schaber thesis,,
central resistive heater,2030,FOM,2,%/year,Schaber thesis,,2013
central resistive heater,2030,efficiency,0.9,per unit,Schaber thesis,,
decentral gas boiler,2030,investment,189.7,EUR/kWhth,Palzer thesis [HICP 2013→2020],,2020
decentral gas boiler,2030,lifetime,20,years,Palzer thesis,,
decentral gas boiler,2030,FOM,2,%/year,Palzer thesis,,2013
decentral gas boiler,2030,efficiency,0.9,per unit,Palzer thesis,,
decentral gas boiler,2030,discount rate,0.04,per unit,Palzer thesis,,
central gas boiler,2030,investment,68.292,EUR/kWhth,Palzer thesis [HICP 2013→2020],,2020
central gas boiler,2030,lifetime,22,years,Palzer thesis,,
central gas boiler,2030,FOM,1,%/year,Palzer thesis,,2013
central gas boiler,2030,efficiency,0.9,per unit,Palzer thesis,,
decentral CHP,2030,lifetime,25,years,HP,,
decentral CHP,2030,investment,1517.6,EUR/kWel,HP [HICP 2013→2020],,2020
decentral CHP,2030,FOM,3,%/year,HP,,2013
decentral CHP,2030,discount rate,0.04,per unit,Palzer thesis,,
central CHP,2030,lifetime,25,years,HP,,
central CHP,2030,investment,704.6,EUR/kWel,HP [HICP 2013→2020],,2020
central CHP,2030,FOM,3,%/year,HP,,2013
decentral solar thermal,2030,discount rate,0.04,per unit,Palzer thesis,,
decentral solar thermal,2030,FOM,1.3,%/year,HP,,2013
decentral solar thermal,2030,investment,292680.0,EUR/1000m2,HP [HICP 2013→2020],,2020
decentral solar thermal,2030,lifetime,20,years,HP,,
central solar thermal,2030,FOM,1.4,%/year,HP,,2013
central solar thermal,2030,investment,151760.0,EUR/1000m2,HP [HICP 2013→2020],,2020
central solar thermal,2030,lifetime,20,years,HP,,
HVAC overhead,2030,investment,433.6,EUR/MW/km,Hagspiel [HICP 2013→2020],,2020
HVAC overhead,2030,lifetime,40,years,Hagspiel,,
HVAC overhead,2030,FOM,2,%/year,Hagspiel,,2013
HVDC overhead,2030,investment,433.6,EUR/MW/km,Hagspiel [HICP 2013→2020],,2020
HVDC overhead,2030,lifetime,40,years,Hagspiel,,
HVDC overhead,2030,FOM,2,%/year,Hagspiel,,2013
HVDC submarine,2030,investment,2168.0,EUR/MW/km,DTU report based on Fig 34 of https://ec.europa.eu/energy/sites/ener/files/documents/2014_nsog_report.pdf [HICP 2013→2020],,2020
HVDC submarine,2030,lifetime,40,years,Hagspiel,,
HVDC submarine,2030,FOM,2,%/year,Hagspiel,,2013
HVDC inverter pair,2030,investment,162600.0,EUR/MW,Hagspiel [HICP 2013→2020],,2020
HVDC inverter pair,2030,lifetime,40,years,Hagspiel,,
HVDC inverter pair,2030,FOM,2,%/year,Hagspiel,,2013
csp-tower,2030,FOM,1.1,%/year,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),,2013
csp-tower,2030,investment,117.47308,"EUR/kW_th,dp",ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/). [HICP 2013→2020],,2020
csp-tower,2030,lifetime,30,years,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),,
csp-tower TES,2030,FOM,1.1,%/year,see solar-tower.,,2013
csp-tower TES,2030,investment,15.73968,EUR/kWh_th,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/). [HICP 2013→2020],,2020
csp-tower TES,2030,lifetime,30,years,see solar-tower.,,
csp-tower power block,2030,FOM,1.1,%/year,see solar-tower.,,2013
csp-tower power block,2030,investment,822.94028,EUR/kW_e,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/). [HICP 2013→2020],,2020
csp-tower power block,2030,lifetime,30,years,see solar-tower.,,
ammonia synthesis,2030,investment,1526,EUR/kWel,DEA 2030 Hydrogen to Ammonia,from archived DEA ammonia config; NOTE: ~2x literature median (IRENA 600-900 USD/kW_NH3) — includes 50% installation share and European EPC costs. Sensitivity analysis recommended.,2020
ammonia synthesis,2030,FOM,3.0,%/year,DEA 2030,,2020
ammonia synthesis,2030,lifetime,30,years,DEA 2030,,
ammonia synthesis,2030,efficiency,0.881,per unit,DEA 2030,H2-to-NH3 conversion (1/1.13472),
ammonia storage,2030,investment,0.52174,EUR/kWh,Queensland report via archived YAML,,2020
ammonia storage,2030,lifetime,30,years,Queensland report via archived YAML,,
ammonia storage,2030,FOM,3.0,%/year,Queensland report via archived YAML,,2020
CCGT NH3,2030,lifetime,30,years,user,kept at 30y for NH3 variant,
CCGT NH3,2030,investment,883,EUR/kWel,aligned with CCGT DEA 2030,,2020
CCGT NH3,2030,FOM,3.35,%/year,aligned with CCGT DEA 2030,,2020
CCGT NH3,2030,VOM,4.47,EUR/MWhel,aligned with CCGT DEA 2030,,2020
CCGT NH3,2030,efficiency,0.58,per unit,aligned with CCGT DEA 2030,,
NH3 pipeline,2030,investment,200,EUR/MW/km,DEA 2030 NH3 pipeline (0.2 EUR/MW/m for large-capacity band),user-confirmed DEA value,2020
NH3 pipeline,2030,lifetime,50,years,DEA 2030 NH3 pipeline,,
NH3 pipeline,2030,FOM,5.0,%/year,aligned with H2 pipeline,,2020
NH3 pipeline,2030,VOM,0,EUR/MWhel,assumed default-compatible explicit zero,,2020
NH3 pipeline,2030,efficiency,0.98,per unit,aligned with H2 pipeline,,
